TEAM,WIN%,PTS,FGA,FG%,3PA,3P%,FTA,FT%,OREB,DREB,AST,TOV,STL,BLK,PF
NEW YORK LIBERTY,0.8,85.6,68.7,44.8,29,34.9,17.2,81.4,8.5,28.1,22.8,13.8,7.9,4.5,15.4
MINNESOTA LYNX,0.75,82,67.3,44.8,25,38,15.5,79,7.4,26.8,23,14.3,8.6,4.2,16.4
CONNECTICUT SUN,0.7,80.1,65.9,44.4,18,32.7,20.9,75.3,8.4,25.1,19.9,13.3,8.2,3.7,16.1
LAS VEGAS ACES,0.675,86.4,68.1,45.4,26.5,35.5,18.3,82.8,5.6,28.5,20.5,11.7,7.1,5,16.5
SEATTLE STORM,0.625,83.2,71.3,43.5,21,28.8,18,84,8.7,26,20.7,13.1,9.3,5.2,16.5
INDIANA FEVER,0.5,85,68.5,45.6,25.9,35.6,17.1,77.5,8.3,26.8,20.4,15.3,5.9,4.3,18.2
PHOENIX MERCURY,0.475,81.5,66.3,43.9,26.1,32.6,18.4,79.9,6.7,25.6,19.9,14.1,6.6,4.7,16.9
ATLANTA DREAM,0.375,77,68.1,40.8,19.4,30.8,20,77.2,9.2,26.9,18.4,13.8,7.2,3.7,16.9
WASHINGTON MYSTICS,0.35,79.3,67,43.3,26.6,36.6,15,76.7,7.1,24.8,21.6,16.1,7.3,3.4,18.4
CHICAGO SKY,0.325,77.4,70.3,42.2,14.9,32.3,17.8,74.2,10.9,25.8,19,14.3,7,3.8,19
DALLAS WINGS,0.225,84.2,71,44.6,19.2,32.6,18.7,78.6,10.5,24.3,20.4,15.7,7.1,4,18.5
LOS ANGELES SPARKS,0.2,78.4,66.4,42.3,22.6,32,19.6,76.5,7.4,25.3,19.7,16,7.3,3.2,17.9